639-1,639-2/T,639-2/B,Languagename,Nativename
aa,aar,aar,Afar,Afaraf
af,afr,afr,Afrikaans,Afrikaans
ak,aka,aka,Akan,Akan
am,amh,amh,Amharic,አማርኛ
ar,ara,ara,Arabic,العربية
av,ava,ava,Avaric,"авармацӀ,магӀарулмацӀ"
ay,aym,aym,Aymara,aymararu
az,aze,aze,Azerbaijani,azərbaycandili
az,azb,azb,SouthAzerbaijani,تورکجه‎
ba,bak,bak,Bashkir,башҡорттеле
be,bel,bel,Belarusian,беларускаямова
bg,bul,bul,Bulgarian,българскиезик
bh,bih,bih,Bihari,भोजपुरी
bm,bam,bam,Bambara,bamanankan
bn,ben,ben,Bengali;Bangla,বাংলা
bo,bod,tib,"TibetanStandard,Tibetan,Central",བོད་ཡིག
bs,bos,bos,Bosnian,bosanskijezik
ca,cat,cat,Catalan;Valencian,"català,valencià"
ce,che,che,Chechen,нохчийнмотт
cs,ces,cze,Czech,"čeština,českýjazyk"
cu,chu,chu,"OldChurchSlavonic,ChurchSlavonic,OldBulgarian",ѩзыкъсловѣньскъ
cv,chv,chv,Chuvash,чӑвашчӗлхи
cy,cym,wel,Welsh,Cymraeg
da,dan,dan,Danish,dansk
de,deu,ger,German,Deutsch
ee,ewe,ewe,Ewe,Eʋegbe
el,ell,gre,"Greek,Modern",ελληνικά
en,eng,eng,English,English
es,spa,spa,Spanish;Castilian,"español,castellano"
et,est,est,Estonian,"eesti,eestikeel"
fa,fas,per,Persian(Farsi),فارسی
ff,ful,ful,Fula;Fulah;Pulaar;Pular,"Fulfulde,Pulaar,Pular"
fi,fin,fin,Finnish,"suomi,suomenkieli"
fj,fij,fij,Fijian,vosaVakaviti
fr,fra,fre,French,"français,languefrançaise"
fy,fry,fry,WesternFrisian,Frysk
ga,gle,gle,Irish,Gaeilge
gd,gla,gla,ScottishGaelic;Gaelic,Gàidhlig
gl,glg,glg,Galician,galego
gn,grn,grn,Guaraní,Avañe'ẽ
gu,guj,guj,Gujarati,ગુજરાતી
ha,hau,hau,Hausa,"Hausa,هَوُسَ"
he,heb,heb,Hebrew(modern),עברית
hi,hin,hin,Hindi,"हिन्दी,हिंदी"
ho,hmo,hmo,HiriMotu,HiriMotu
hr,hrv,hrv,Croatian,hrvatskijezik
ht,hat,hat,Haitian;HaitianCreole,Kreyòlayisyen
hu,hun,hun,Hungarian,magyar
hy,hye,arm,Armenian,Հայերեն
ia,ina,ina,Interlingua,Interlingua
id,ind,ind,Indonesian,BahasaIndonesia
ig,ibo,ibo,Igbo,AsụsụIgbo
ii,iii,iii,Nuosu,ꆈꌠ꒿Nuosuhxop
ik,ipk,ipk,Inupiaq,"Iñupiaq,Iñupiatun"
is,isl,ice,Icelandic,Íslenska
it,ita,ita,Italian,italiano
ja,jpn,jpn,Japanese,日本語(にほんご)
jv,jav,jav,Javanese,basaJawa
ka,kat,geo,Georgian,ქართული
kg,kon,kon,Kongo,KiKongo
ki,kik,kik,"Kikuyu,Gikuyu",Gĩkũyũ
kk,kaz,kaz,Kazakh,қазақтілі
kl,kal,kal,"Kalaallisut,Greenlandic","kalaallisut,kalaallitoqaasii"
km,khm,khm,Khmer,"ខ្មែរ,ខេមរភាសា,ភាសាខ្មែរ"
kn,kan,kan,Kannada,ಕನ್ನಡ
ko,kor,kor,Korean,"한국어(韓國語),조선어(朝鮮語)"
kr,kau,kau,Kanuri,Kanuri
ks,kas,kas,Kashmiri,"कश्मीरी,كشميري‎"
ku,kur,kur,Kurdish,"Kurdî,كوردی‎"
kv,kom,kom,Komi,комикыв
ky,kir,kir,Kyrgyz,"Кыргызча,Кыргызтили"
la,lat,lat,Latin,"latine,lingualatina"
lb,ltz,ltz,"Luxembourgish,Letzeburgesch",Lëtzebuergesch
lg,lug,lug,Ganda,Luganda
li,lim,lim,"Limburgish,Limburgan,Limburger",Limburgs
ln,lin,lin,Lingala,Lingála
lo,lao,lao,Lao,ພາສາລາວ
lt,lit,lit,Lithuanian,lietuviųkalba
lu,lub,lub,Luba-Katanga,Tshiluba
lv,lav,lav,Latvian,latviešuvaloda
mg,mlg,mlg,Malagasy,fitenymalagasy
mi,mri,mao,Māori,tereoMāori
mk,mkd,mac,Macedonian,македонскијазик
ml,mal,mal,Malayalam,മലയാളം
mn,mon,mon,Mongolian,монгол
mr,mar,mar,Marathi(Marāṭhī),मराठी
ms,msa,may,Malay,"bahasaMelayu,بهاسملايو‎"
mt,mlt,mlt,Maltese,Malti
my,mya,bur,Burmese,ဗမာစာ
na,nau,nau,Nauru,EkakairũNaoero
nb,nob,nob,NorwegianBokmål,Norskbokmål
nd,nde,nde,NorthNdebele,isiNdebele
ne,nep,nep,Nepali,नेपाली
ng,ndo,ndo,Ndonga,Owambo
nl,nld,dut,Dutch,"Nederlands,Vlaams"
nn,nno,nno,NorwegianNynorsk,Norsknynorsk
no,nor,nor,Norwegian,Norsk
nr,nbl,nbl,SouthNdebele,isiNdebele
nv,nav,nav,"Navajo,Navaho","Dinébizaad,Dinékʼehǰí"
ny,nya,nya,Chichewa;Chewa;Nyanja,"chiCheŵa,chinyanja"
om,orm,orm,Oromo,AfaanOromoo
or,ori,ori,Oriya,ଓଡ଼ିଆ
os,oss,oss,"Ossetian,Ossetic",иронæвзаг
pa,pan,pan,"Panjabi,Punjabi","ਪੰਜਾਬੀ,پنجابی‎"
pi,pli,pli,Pāli,पाऴि
pl,pol,pol,Polish,"językpolski,polszczyzna"
ps,pus,pus,"Pashto,Pushto",پښتو
pt,por,por,Portuguese,português
qu,que,que,Quechua,"RunaSimi,Kichwa"
rm,roh,roh,Romansh,rumantschgrischun
rn,run,run,Kirundi,Ikirundi
ro,ron,rum,Romanian,limbaromână
ru,rus,rus,Russian,русскийязык
rw,kin,kin,Kinyarwanda,Ikinyarwanda
sc,srd,srd,Sardinian,sardu
sd,snd,snd,Sindhi,"सिन्धी,سنڌي،سندھی‎"
se,sme,sme,NorthernSami,Davvisámegiella
sg,sag,sag,Sango,yângâtîsängö
si,sin,sin,"Sinhala,Sinhalese",සිංහල
sk,slk,slo,Slovak,"slovenčina,slovenskýjazyk"
sl,slv,slv,Slovene,"slovenskijezik,slovenščina"
sm,smo,smo,Samoan,gaganafa'aSamoa
sn,sna,sna,Shona,chiShona
so,som,som,Somali,"Soomaaliga,afSoomaali"
sq,sqi,alb,Albanian,gjuhashqipe
sr,srp,srp,Serbian,српскијезик
ss,ssw,ssw,Swati,SiSwati
su,sun,sun,Sundanese,BasaSunda
sv,swe,swe,Swedish,Svenska
sw,swa,swa,Swahili,Kiswahili
ta,tam,tam,Tamil,தமிழ்
te,tel,tel,Telugu,తెలుగు
tg,tgk,tgk,Tajik,"тоҷикӣ,toğikī,تاجیکی‎"
th,tha,tha,Thai,ไทย
ti,tir,tir,Tigrinya,ትግርኛ
tk,tuk,tuk,Turkmen,"Türkmen,Түркмен"
tl,tgl,tgl,Tagalog,"WikangTagalog,ᜏᜒᜃᜅ᜔ᜆᜄᜎᜓᜄ᜔"
tn,tsn,tsn,Tswana,Setswana
tr,tur,tur,Turkish,Türkçe
ts,tso,tso,Tsonga,Xitsonga
tt,tat,tat,Tatar,"татартеле,tatartele"
tw,twi,twi,Twi,Twi
ug,uig,uig,"Uyghur,Uighur","Uyƣurqə,ئۇيغۇرچە‎"
uk,ukr,ukr,Ukrainian,українськамова
ur,urd,urd,Urdu,اردو
uz,uzb,uzb,Uzbek,"O‘zbek,Ўзбек,أۇزبېك‎"
ve,ven,ven,Venda,Tshivenḓa
vi,vie,vie,Vietnamese,TiếngViệt
vo,vol,vol,Volapük,Volapük
wa,wln,wln,Walloon,walon
wo,wol,wol,Wolof,Wollof
xh,xho,xho,Xhosa,isiXhosa
yi,yid,yid,Yiddish,ייִדיש
yo,yor,yor,Yoruba,Yorùbá
za,zha,zha,"Zhuang,Chuang","Saɯcueŋƅ,Sawcuengh"
zh,zho,chi,Chinese,"中文(Zhōngwén),汉语,漢語"
zu,zul,zul,Zulu,isiZulu
